imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0015532,Die Abenteuer des Prinzen Achmed,1926,1928-01-01,"Animation, Adventure, Fantasy",81,Germany,None,"Lotte Reiniger, Carl Koch",,Comenius-Film GmbH,7.8,4872,44,44,7.8,4872,7.7,3365,7.8,695,7.8,1759,7.6,826,8.1,695,8.1,173,8.1,306,8.0,200,7.0,209,7.9,1469,7.7,2312
tt0021025,King of Jazz,1930,1931-03-20,"Animation, Comedy, Music",99,USA,English,John Murray Anderson,Harry Ruskin,Universal Pictures,6.8,930,36,26,6.8,930,6.7,616,6.5,68,6.5,192,7.0,336,6.6,149,5.4,13,6.8,36,6.9,96,6.0,113,7.0,458,6.4,265
tt0021309,Le roman de Renard,1937,1941-04-10,"Animation, Adventure, Comedy",63,France,French,"Irene Starewicz, Wladyslaw Starewicz","Jean Nohain, Antoinette Nordmann",Wladyslaw Starewicz Production,7.8,1071,10,7,7.8,1071,7.7,727,7.8,168,7.7,376,7.5,170,8.3,137,7.9,36,8.5,59,8.5,38,7.0,102,7.7,193,7.8,625
tt0025263,Hollywood Party,1934,1934-06-01,"Animation, Comedy, Musical",68,USA,English,"Richard Boleslawski, Allan Dwan","Howard Dietz, Arthur Kober",Metro-Goldwyn-Mayer (MGM),6.2,705,32,16,6.2,705,6.1,481,6.5,23,6.2,117,6.1,333,6.2,73,5.0,12,5.8,21,7.0,40,6.1,101,6.1,332,6.0,194
tt0026793,Novyy Gulliver,1935,1935-03-25,"Animation, Adventure, Comedy",75,Soviet Union,Russian,Aleksandr Ptushko,"Sigizmund Krzhizhanovsky, Aleksandr Ptushko",Mosfilm,6.8,229,3,4,6.8,229,6.7,163,6.4,23,6.8,85,6.8,51,6.7,32,5.7,9,7.0,14,7.0,8,6.5,36,6.7,31,6.8,145
tt0029583,Snow White and the Seven Dwarfs,1937,1938-07-08,"Animation, Family, Fantasy",83,USA,English,"William Cottrell, David Hand","Jacob Grimm, Wilhelm Grimm",Walt Disney Productions,7.6,168735,229,166,7.6,168735,7.6,86831,7.5,27900,7.5,41802,7.9,13027,7.7,43926,7.6,20073,7.7,18021,8.0,3470,7.9,719,7.7,37903,7.6,70466
tt0029912,The Big Broadcast of 1938,1938,1938-03-09,"Animation, Comedy, Musical",91,USA,English,"Mitchell Leisen, James P. Hogan","Walter DeLeon, Francis Martin",Paramount Pictures,6.4,812,27,13,6.4,812,6.4,550,6.1,23,6.0,115,6.6,401,6.5,66,5.8,6,6.4,27,6.7,31,6.4,88,6.7,387,6.1,200
tt0031397,Gulliver's Travels,1939,1940-05-31,"Animation, Adventure, Comedy",76,USA,English,Dave Fleischer,"Jonathan Swift, Edmond Seward",Fleischer Studios,6.7,3564,58,34,6.7,3564,6.7,2396,6.6,369,6.7,1157,6.7,812,7.0,550,6.6,123,7.1,291,7.1,130,6.2,221,6.7,1039,6.7,1685
tt0032455,Fantasia,1940,1942-04-03,"Animation, Family, Fantasy",125,USA,English,"James Algar, Samuel Armstrong","Joe Grant, Dick Huemer",Walt Disney Productions,7.8,83242,322,110,7.8,83242,7.7,48814,7.8,11296,7.6,25538,7.8,10505,7.8,16182,7.7,5141,7.8,8035,7.9,2405,7.6,603,7.9,24442,7.6,32989
tt0032910,Pinocchio,1940,1940-09-06,"Animation, Comedy, Family",88,USA,English,"Norman Ferguson, T. Hee","Carlo Collodi, Ted Sears",Walt Disney Productions,7.4,120088,183,131,7.4,120088,7.5,67131,7.5,22755,7.5,31892,7.7,9047,7.2,25864,7.2,11668,7.2,10582,7.6,2115,7.7,668,7.6,25785,7.4,50603
tt0033563,Dumbo,1941,1942-06-05,"Animation, Drama, Family",64,USA,English,"Samuel Armstrong, Norman Ferguson","Joe Grant, Dick Huemer",Walt Disney Productions,7.2,111176,163,126,7.2,111176,7.2,60996,7.2,19188,7.2,30261,7.4,8557,7.3,25996,7.2,11276,7.3,11236,7.6,2116,7.3,671,7.3,23563,7.2,48197
tt0033727,Mr. Bug Goes to Town,1941,1941-12-05,"Animation, Comedy, Family",78,USA,English,"Dave Fleischer, Shamus Culhane","Dave Fleischer, Dan Gordon",Fleischer Studios,7.0,1031,31,10,7.0,1031,6.9,678,6.9,109,6.8,270,7.1,280,7.4,158,7.3,29,7.2,64,7.6,60,6.5,105,7.1,337,6.8,424
tt0034091,The Reluctant Dragon,1941,1942-07-01,"Animation, Comedy, Family",74,USA,English,"Alfred L. Werker, Hamilton Luske","Kenneth Grahame, Ted Sears",Walt Disney Productions,7.0,2217,22,18,7.0,2217,6.9,1370,7.0,293,6.9,671,6.8,361,7.2,390,6.9,125,7.3,186,7.6,61,6.9,159,7.1,767,6.8,786
tt0034492,Bambi,1942,1943-02-19,"Animation, Drama, Family",70,USA,English,"James Algar, Samuel Armstrong","Felix Salten, Perce Pearce",Walt Disney Productions,7.3,121710,164,115,7.3,121710,7.2,64679,7.2,21120,7.2,30827,7.5,9642,7.5,29497,7.4,13342,7.4,12030,7.9,2539,7.6,668,7.4,26788,7.2,51365
tt0035195,Pittsburgh,1942,1942-12-11,"Animation, Action, Drama",92,USA,English,Lewis Seiler,"Kenneth Gamet, Tom Reed",Charles K. Feldman Group,6.6,973,12,16,6.6,973,6.6,675,7.1,21,6.4,145,6.6,492,6.9,100,7.8,10,7.1,32,6.3,56,6.8,112,6.9,463,6.2,271
tt0038166,The Three Caballeros,1944,1945-12-28,"Animation, Comedy, Family",71,USA,"English, Spanish, Portuguese","Norman Ferguson, Clyde Geronimi","Homer Brightman, Ernest Terrazas",Walt Disney Pictures,6.5,10870,46,39,6.5,10870,6.4,6867,6.4,1760,6.4,3595,6.5,1290,6.6,2046,6.4,744,6.7,985,6.5,249,6.5,300,6.6,3085,6.3,4682
tt0038606,Holiday in Mexico,1946,1946-09-01,"Animation, Comedy, Musical",128,USA,"English, Spanish",George Sidney,"William Kozlenko, Isobel Lennart",Loew's,6.1,359,19,4,6.1,359,5.9,190,6.3,3,5.8,35,5.9,149,6.6,85,7.3,10,6.7,24,6.5,47,6.0,52,6.3,180,5.6,79
tt0038718,Make Mine Music,1946,1946-12-27,"Animation, Family, Music",75,USA,English,"Robert Cormack, Clyde Geronimi","Homer Brightman, Dick Huemer",Walt Disney Productions,6.3,3293,31,14,6.3,3293,6.3,2084,6.1,590,6.2,1007,6.6,423,6.6,548,6.3,189,6.7,267,7.6,77,6.6,148,6.7,1011,6.1,1303
tt0038969,Song of the South,1946,1947-08-01,"Animation, Comedy, Family",94,USA,English,"Harve Foster, Wilfred Jackson","Dalton S. Reymond, Morton Grant",Walt Disney Productions,7.1,10379,257,37,7.1,10379,7.1,6223,6.8,939,6.9,2718,7.5,2362,7.2,1907,6.9,388,7.3,802,7.5,654,6.7,284,7.4,4556,6.8,2802
tt0039404,Fun & Fancy Free,1947,1948-05-21,"Animation, Adventure, Comedy",73,USA,English,,"Homer Brightman, Harry Reeves",Walt Disney Productions,6.6,6052,33,24,6.6,6052,6.6,3785,6.6,1107,6.6,1854,6.7,707,6.8,1097,6.7,441,6.8,490,7.0,126,6.6,223,6.9,1928,6.5,2356
tt0040580,Melody Time,1948,1949-11-11,"Animation, Family, Music",75,USA,English,"Clyde Geronimi, Wilfred Jackson","Winston Hibler, Erdman Penner",Walt Disney Productions,6.4,4183,32,13,6.4,4183,6.4,2596,6.3,713,6.3,1214,6.6,582,6.6,789,6.4,281,6.7,384,7.1,99,6.7,169,6.8,1289,6.1,1650
