imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0000574,The Story of the Kelly Gang,1906,1906-12-26,"Biography, Crime, Drama",70,Australia,,Charles Tait,Charles Tait,J. and N. Tait,6.1,537,7,7,6.1,537,6.1,393,6.2,112,5.9,186,6.4,85,6.1,48,5.7,14,6.0,19,6.6,14,6.3,64,6.0,89,6.2,309
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,1913-01-01,"Biography, Drama",60,USA,English,Sidney Olcott,Gene Gauntier,Kalem Company,5.7,438,12,5,5.7,438,5.8,318,5.8,34,5.7,142,5.8,131,5.4,29,5.0,4,4.8,10,6.5,15,5.7,56,5.9,161,5.7,164
tt0002423,Madame DuBarry,1919,1919-11-26,"Biography, Drama, Romance",85,Germany,German,Ernst Lubitsch,"Norbert Falk, Hanns Kräly",Projektions-AG Union (PAGU),6.8,709,11,9,6.8,709,6.7,497,6.5,49,6.5,220,6.9,217,7.4,93,6.3,15,7.2,40,8.1,35,6.3,91,6.7,133,6.8,428
tt0005960,The Regeneration,1915,1915-09-13,"Biography, Crime, Drama",72,USA,English,Raoul Walsh,"Owen Frawley Kildare, Raoul Walsh",Fox Film Corporation,6.9,1047,17,15,6.9,1047,6.8,734,6.6,98,6.8,292,6.9,324,7.2,122,6.0,15,6.9,42,8.2,62,6.8,94,6.9,351,6.8,465
tt0007801,Cleopatra,1917,1917-10-14,"Biography, Drama, History",125,USA,English,J. Gordon Edwards,"Adrian Johnson, Émile Moreau",Fox Film Corporation,6.5,291,3,3,6.5,291,6.4,181,6.0,33,6.6,79,6.6,63,6.9,62,5.6,9,6.9,22,7.6,30,5.6,28,6.6,132,6.4,102
tt0008395,Otets Sergiy,1918,1919-01-01,"Biography, Drama, History",112,Russia,,"Yakov Protazanov, Alexandre Volkoff","Leo Tolstoy, Alexandre Volkoff",Yermoliev,7.2,425,6,2,7.2,425,7.1,278,6.9,45,7.0,126,7.1,99,7.8,81,7.5,14,7.5,23,8.2,42,6.6,53,6.5,96,7.3,237
tt0011267,Headin' Home,1920,1920-09-19,"Biography, Comedy, Drama",71,USA,English,Lawrence C. Windom,"Arthur 'Bugs' Baer, Earle Browne",Kessel & Baumann,5.1,244,11,7,5.1,244,5.1,188,4.3,6,4.9,52,5.3,126,4.9,10,0.0,0,6.0,3,4.8,7,5.3,45,5.2,160,4.5,32
tt0013571,Salomé,1922,1923-02-15,"Biography, Drama, History",72,USA,,"Charles Bryant, Alla Nazimova","Oscar Wilde, Natacha Rambova",Nazimova Productions,6.6,765,26,7,6.6,765,6.6,524,6.8,55,6.6,209,6.4,243,6.7,106,6.7,26,6.9,42,6.5,37,6.1,86,6.5,254,6.7,347
tt0014532,The Ten Commandments,1923,1923-11-23,"Biography, Drama, Fantasy",136,USA,English,Cecil B. DeMille,Jeanie Macpherson,Paramount Pictures,6.8,1768,32,10,6.8,1768,6.8,1270,6.6,157,6.8,574,7.0,496,6.9,174,5.9,33,7.3,74,6.9,63,6.8,157,7.0,542,6.7,791
tt0015935,El húsar de la muerte,1925,1925-11-24,"Biography, Drama, History",65,Chile,,Pedro Sienna,"Pedro Sienna, Hugo Silva",Film Andes S.A.,6.7,101,4,3,6.7,101,6.6,76,6.7,8,6.6,45,6.3,20,7.1,10,10.0,1,7.1,6,5.7,3,5.7,16,7.4,9,6.5,67
tt0016276,The Red Kimona,1925,1925-11-16,"Biography, Drama, Romance",77,USA,English,"Walter Lang, Dorothy Davenport","Adela Rogers St. Johns, Dorothy Arzner",Mrs. Wallace Reid Productions,6.5,238,12,5,6.5,238,6.5,151,6.7,7,6.7,46,6.5,93,6.5,38,5.8,5,6.4,12,6.7,21,6.1,40,6.5,132,6.6,53
tt0017198,Nell Gwyn,1926,1927-01-03,"Biography, Drama, History",80,UK,English,Herbert Wilcox,"J.W. McConaughty, Joseph Shearing",British National Films,5.3,223,2,1,5.3,223,5.3,121,1.0,1,5.8,15,5.2,105,3.1,88,5.0,1,8.5,2,1.3,85,4.0,27,6.7,173,4.5,36
tt0017736,Casanova,1927,1927-01-01,"Biography, Drama",132,"France, Germany",French,Alexandre Volkoff,"Norbert Falk, Ivan Mozzhukhin",Ciné-Alliance,6.7,167,4,2,6.7,167,6.6,128,6.8,8,6.6,38,6.6,81,6.2,12,4.5,2,7.8,4,5.9,6,5.6,40,7.0,28,6.4,105
tt0018054,The King of Kings,1927,2004-01-01,"Biography, Drama, History",155,USA,English,Cecil B. DeMille,Jeanie Macpherson,DeMille Pictures Corporation,7.3,1771,46,23,7.3,1771,7.3,1213,7.3,118,7.1,503,7.3,565,7.2,163,6.8,26,7.4,56,7.2,77,6.8,150,7.4,765,7.0,531
tt0018192,Napoléon vu par Abel Gance,1927,1929-12-20,"Biography, Drama, History",240,France,,Abel Gance,Abel Gance,Ciné France,8.1,6383,60,41,8.1,6383,8.1,4386,8.1,565,8.1,1985,8.1,1734,7.6,872,7.2,100,7.5,294,8.2,470,7.6,214,8.3,2150,8.0,2805
tt0019254,La passion de Jeanne d'Arc,1928,1928-10-25,"Biography, Drama, History",110,France,French,Carl Theodor Dreyer,"Joseph Delteil, Carl Theodor Dreyer",Société générale des films,8.2,42209,177,147,8.2,42209,8.2,25890,8.2,6745,8.1,12955,8.3,5280,8.1,4262,8.1,1219,8.1,1821,8.2,1050,7.4,458,8.4,9704,8.1,17214
tt0019823,Disraeli,1929,1930-03-14,"Biography, Drama, History",90,USA,English,Alfred E. Green,Julien Josephson,Warner Bros.,6.2,923,21,17,6.2,923,6.2,605,6.4,41,5.9,216,6.4,341,6.3,99,5.6,5,6.1,33,6.6,58,6.2,111,6.3,446,6.1,235
tt0020620,Abraham Lincoln,1930,1931-04-10,"Biography, Drama, History",96,USA,English,D.W. Griffith,"Stephen Vincent Benet, John W. Considine Jr.",D.W. Griffith Productions,5.7,1236,43,21,5.7,1236,5.7,891,5.4,71,5.6,339,5.7,460,5.6,109,5.4,11,5.7,34,5.6,56,5.6,144,5.7,480,5.6,464
tt0020693,Billy the Kid,1930,1930-10-18,"Action, Biography, Drama",98,USA,English,King Vidor,"Walter Noble Burns, Laurence Stallings",Metro-Goldwyn-Mayer (MGM),6.0,327,12,6,6.0,327,6.0,231,4.2,11,6.2,48,6.1,167,6.1,31,1.0,1,6.4,10,6.5,20,5.7,60,6.0,155,6.0,100
tt0021595,Alexander Hamilton,1931,1932-04-15,"Biography, Drama, History",70,USA,"English, French",John G. Adolfi,"George Arliss, Mary Hamlin",Warner Bros.,6.0,216,5,4,6.0,216,6.0,137,5.7,6,6.1,26,6.0,104,5.9,34,7.0,3,5.9,11,5.6,18,5.9,41,5.9,138,6.5,27
tt0023374,Rasputin and the Empress,1932,1933-03-24,"Biography, Drama, History",121,USA,English,"Richard Boleslawski, Charles Brabin",Charles MacArthur,Metro-Goldwyn-Mayer (MGM),6.6,804,26,14,6.6,804,6.6,471,6.4,19,6.4,115,6.7,320,6.7,145,6.9,11,6.6,44,6.8,88,6.6,110,6.7,426,6.4,164
tt0023472,Silver Dollar,1932,1932-12-24,"Biography, Drama",83,USA,English,Alfred E. Green,"Carl Erickson, Harvey F. Thew",First National Pictures,6.5,261,15,5,6.5,261,6.5,176,6.4,5,6.1,31,6.6,134,6.7,38,7.0,3,6.0,5,7.0,30,6.2,49,6.4,151,6.6,52
tt0024087,Hans Westmar,1933,1938-01-01,Biography,95,Germany,German,Franz Wenzler,"Hanns Heinz Ewers, Hanns Heinz Ewers",Volksdeutsche Film,6.0,1296,6,1,6.0,1296,5.9,168,6.2,26,5.9,65,5.8,67,4.6,19,6.1,5,4.1,7,4.2,7,4.1,39,6.4,43,5.4,115
tt0024473,The Private Life of Henry VIII.,1933,1933-08-17,"Biography, Comedy, Drama",97,UK,"English, German",Alexander Korda,"Lajos Biró, Arthur Wimperis",London Film Productions,7.1,3397,42,28,7.1,3397,7.1,2286,7.1,194,7.0,860,7.1,1168,7.2,474,7.1,68,7.0,180,7.4,210,6.8,246,7.2,1280,7.0,1322
