imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0000574,The Story of the Kelly Gang,1906,1906-12-26,"Biography, Crime, Drama",70,Australia,,Charles Tait,Charles Tait,J. and N. Tait,6.1,537,7,7,6.1,537,6.1,393,6.2,112,5.9,186,6.4,85,6.1,48,5.7,14,6.0,19,6.6,14,6.3,64,6.0,89,6.2,309
tt0002844,Fantômas - À l'ombre de la guillotine,1913,1913-05-12,"Crime, Drama",54,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,7.0,1853,9,29,7.0,1853,6.9,1371,6.9,212,6.9,700,7.1,436,7.5,231,7.1,37,7.4,97,7.9,95,6.7,109,7.0,549,6.9,978
tt0003037,Juve contre Fantômas,1913,1913-09-08,"Crime, Drama",61,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,7.0,1295,8,22,7.0,1295,6.9,954,6.8,128,6.9,481,7.1,330,7.2,160,6.7,24,7.0,54,7.8,80,6.7,99,7.0,384,6.9,688
tt0003165,Le mort qui tue,1913,1913-11-06,"Crime, Drama, Mystery",90,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,7.0,1000,6,17,7.0,1000,6.9,749,6.9,104,6.8,366,7.1,265,7.5,121,6.5,18,7.4,42,8.3,59,6.6,89,6.9,300,7.0,541
tt0003471,Traffic in Souls,1913,1913-11-24,"Crime, Drama",88,USA,English,George Loane Tucker,,Independent Moving Pictures Co. of America (IMP),6.1,527,13,10,6.1,527,6.0,379,5.5,41,5.7,144,6.4,187,6.4,52,5.2,10,6.8,15,6.8,25,5.9,67,6.1,243,6.0,173
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,1914-08-24,"Crime, Drama, Horror",78,USA,English,D.W. Griffith,"Edgar Allan Poe, D.W. Griffith",Majestic Motion Picture Company,6.5,1050,14,11,6.5,1050,6.5,661,6.4,74,6.4,223,6.5,354,6.9,261,6.7,11,7.0,34,7.1,211,6.5,85,6.5,576,6.5,321
tt0003883,L'enfant de Paris,1913,1913-09-17,"Crime, Drama",100,France,French,Léonce Perret,Léonce Perret,Société des Etablissements L. Gaumont,7.6,279,7,4,7.6,279,7.5,208,7.2,26,7.4,87,7.6,88,7.7,39,6.2,6,7.7,14,8.0,18,6.9,41,7.5,82,7.6,154
tt0003930,Fantômas contre Fantômas,1914,1914-01-10,"Crime, Drama",59,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,7.0,1112,5,17,7.0,1112,6.9,834,6.8,107,6.9,420,6.9,292,7.4,129,6.5,18,7.3,42,8.0,67,6.5,99,6.9,332,6.9,601
tt0003952,Le faux magistrat,1914,1914-04-27,"Crime, Drama",70,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,6.9,885,5,17,6.9,885,6.8,661,6.8,93,6.7,331,7.0,223,7.6,108,6.7,17,7.7,34,8.4,56,6.6,81,6.8,264,6.9,476
tt0004872,Alias Jimmy Valentine,1915,1915-02-22,"Crime, Drama",50,USA,English,Maurice Tourneur,"Paul Armstrong, O. Henry",Peerless Productions,6.7,196,4,3,6.7,196,6.7,137,6.4,12,6.7,54,6.9,66,6.9,22,7.0,1,5.7,6,7.3,15,6.6,21,6.9,96,6.6,58
