imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0004099,"His Majesty, the Scarecrow of Oz",1914,1914-10-14,"Family, Fantasy, Adventure",59,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum",The Oz Film Manufacturing Company,5.2,398,11,7,5.2,398,5.4,291,5.3,28,5.2,122,5.6,136,4.1,47,4.3,13,3.9,19,4.3,15,5.4,49,5.5,194,4.7,132
tt0004457,The Patchwork Girl of Oz,1914,1914-09-28,"Adventure, Family, Fantasy",81,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum",The Oz Film Manufacturing Company,5.5,354,16,4,5.5,354,5.5,249,4.9,28,5.3,101,6.1,116,5.3,39,4.6,10,5.2,15,6.2,14,5.5,53,5.7,165,5.3,111
tt0004873,Alice in Wonderland,1915,1915-01-19,"Adventure, Family, Fantasy",52,USA,English,W.W. Young,"Lewis Carroll, W.W. Young",Nonpareil Feature Film Corp.,6.2,347,9,8,6.2,347,6.1,220,6.3,39,5.8,97,6.4,77,6.6,69,6.7,28,6.5,28,6.8,13,6.3,37,6.3,92,6.0,167
tt0008443,The Poor Little Rich Girl,1917,1917-03-05,"Comedy, Drama, Family",65,USA,English,Maurice Tourneur,"Eleanor Gates, Frances Marion",Artcraft Pictures Corporation,6.7,1224,16,13,6.7,1224,6.6,787,6.6,88,6.6,297,6.6,384,6.9,291,6.8,38,6.9,75,7.0,175,6.3,101,6.8,644,6.5,394
tt0011588,Pollyanna,1920,1920-01-18,"Family, Comedy, Drama",58,USA,English,Paul Powell,"Eleanor H. Porter, Catherine Chisholm Cushing",Mary Pickford Company,6.6,321,15,2,6.6,321,6.5,204,7.1,22,6.3,78,6.6,96,6.9,55,5.5,12,7.1,23,7.2,20,5.9,45,7.0,119,6.2,132
tt0012349,The Kid,1921,1921-02-06,"Comedy, Drama, Family",68,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,8.3,101619,151,97,8.3,101619,8.3,65142,8.4,21855,8.3,29733,8.2,10344,8.4,11632,8.4,4460,8.4,4752,8.3,1812,7.8,607,8.2,15195,8.3,47813
tt0013059,Der var engang,1922,1922-10-03,"Drama, Family, Fantasy",75,Denmark,,Carl Theodor Dreyer,"Holger Drachmann, Carl Theodor Dreyer",Sophus Madsen Film,6.3,317,4,1,6.3,317,6.3,230,6.3,32,6.3,119,6.3,71,6.9,32,5.2,5,7.0,22,8.5,5,6.0,36,6.8,63,6.3,182
tt0013201,Grandma's Boy,1922,1922-09-03,"Comedy, Family",60,USA,English,Fred C. Newmeyer,"Hal Roach, Sam Taylor",Hal Roach Studios,7.0,1543,24,15,7.0,1543,7.0,1112,6.9,103,7.0,468,7.0,517,7.5,150,7.9,37,7.3,69,7.3,41,6.4,158,7.2,579,6.8,634
tt0013556,Robin Hood,1922,1922-10-18,"Adventure, Family, Romance",143,USA,English,Allan Dwan,Douglas Fairbanks,Douglas Fairbanks Pictures,7.2,1886,24,17,7.2,1886,7.2,1294,7.0,117,7.0,522,7.3,624,7.2,293,7.2,30,7.3,86,7.2,171,6.8,135,7.3,748,7.0,755
tt0013688,The Toll of the Sea,1922,1923-01-22,"Drama, Family, Fantasy",54,USA,,Chester M. Franklin,Frances Marion,Technicolor,6.6,609,24,11,6.6,609,6.5,408,6.4,40,6.3,165,6.8,195,6.9,82,6.5,20,7.3,32,6.7,25,6.5,79,6.7,276,6.4,189
