imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0018526,Underworld,1927,1929-02-24,"Crime, Drama, Film-Noir",80,USA,English,"Josef von Sternberg, Arthur Rosson","Charles Furthman, Ben Hecht",Paramount Pictures,7.6,2301,27,42,7.6,2301,7.6,1749,7.6,301,7.6,829,7.5,586,7.5,205,7.2,39,7.4,89,7.8,70,7.2,157,7.7,775,7.5,1060
tt0018839,The Docks of New York,1928,1928-09-29,"Crime, Drama, Film-Noir",76,USA,English,Josef von Sternberg,"Jules Furthman, John Monk Saunders",Paramount Pictures,7.5,3596,32,48,7.5,3596,7.6,2658,7.6,467,7.5,1335,7.6,803,7.3,435,7.4,114,7.1,199,7.8,109,7.2,179,7.9,1042,7.4,1841
tt0019304,The Racket,1928,1928-11-01,"Crime, Drama, Film-Noir",84,USA,English,Lewis Milestone,"Bartlett Cormack, Bartlett Cormack",The Caddo Company,6.7,995,27,13,6.7,995,6.6,703,6.4,71,6.6,284,6.7,337,7.1,110,6.9,22,6.5,34,7.6,52,6.3,122,6.8,486,6.6,284
tt0019702,Blackmail,1929,1929-12-06,"Crime, Film-Noir, Thriller",85,UK,English,Alfred Hitchcock,"Charles Bennett, Alfred Hitchcock",British International Pictures (BIP),7.0,8901,90,60,7.0,8901,6.9,6205,6.9,975,6.9,3159,7.0,1947,7.0,972,6.9,213,7.0,455,7.2,272,6.6,334,6.9,2424,7.0,4292
tt0020499,Thunderbolt,1929,1930-10-03,"Crime, Drama, Film-Noir",85,USA,English,Josef von Sternberg,"Charles Furthman, Jules Furthman",Paramount Pictures,6.6,474,8,12,6.6,474,6.6,338,8.0,23,6.6,120,6.3,190,6.5,46,4.7,5,6.6,15,6.8,26,6.1,88,6.4,197,6.7,170
tt0021228,Paid,1930,1931-06-05,"Drama, Film-Noir",86,USA,English,Sam Wood,"Bayard Veiller, Lucien Hubbard",Metro-Goldwyn-Mayer (MGM),6.3,550,27,7,6.3,550,6.3,306,6.4,10,6.3,74,6.3,216,6.0,140,6.7,14,6.7,35,5.6,88,6.4,69,6.1,322,6.5,101
tt0021750,City Streets,1931,1931-04-18,"Crime, Drama, Film-Noir",83,USA,English,Rouben Mamoulian,"Dashiell Hammett, Max Marcin",Paramount Pictures,7.1,1136,58,14,7.1,1136,7.1,774,7.3,50,7.1,274,7.0,436,7.3,145,7.4,21,7.2,47,7.4,74,7.0,147,7.2,422,7.0,452
tt0022111,The Maltese Falcon,1931,1931-06-13,"Crime, Drama, Film-Noir",80,USA,"English, Chinese",Roy Del Ruth,"Dashiell Hammett, Maude Fulton",Warner Bros.,6.9,2564,41,23,6.9,2564,6.8,1670,6.6,90,6.8,510,6.9,1029,7.2,450,6.9,37,7.3,110,7.1,296,6.3,166,6.9,1394,6.8,652
tt0022660,The Beast of the City,1932,1932-02-13,"Crime, Drama, Film-Noir",86,USA,English,Charles Brabin,W.R. Burnett,Metro-Goldwyn-Mayer (MGM),6.8,985,29,10,6.8,985,6.7,651,6.6,22,6.7,167,6.7,443,6.8,135,6.7,13,6.8,37,6.9,82,6.7,130,6.8,499,6.5,250
tt0023042,I Am a Fugitive from a Chain Gang,1932,1932-11-19,"Crime, Drama, Film-Noir",92,USA,English,Mervyn LeRoy,"Robert E. Burns, Howard J. Green",Warner Bros.,8.2,10797,394,45,8.2,10797,8.2,7491,8.3,915,8.3,3457,8.2,2977,8.2,1308,8.2,222,8.2,434,8.2,629,7.9,337,8.3,4493,8.2,3874
tt0023268,Night Court,1932,1932-06-04,"Crime, Film-Noir, Thriller",92,USA,English,W.S. Van Dyke,"Bayard Veiller, Lenore J. Coffee",Metro-Goldwyn-Mayer (MGM),7.0,321,20,5,7.0,321,7.0,203,7.0,4,6.8,40,7.0,154,7.4,52,9.0,3,7.4,13,7.3,36,6.7,57,7.0,191,7.1,51
