imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0002101,Cleopatra,1912,1912-11-13,"Drama, History",100,USA,English,Charles L. Gaskill,Victorien Sardou,Helen Gardner Picture Players,5.2,420,24,3,5.2,420,5.0,278,4.6,20,5.1,89,5.2,159,5.8,39,4.5,4,5.5,14,6.2,20,4.9,57,5.5,197,4.7,103
tt0002445,Quo Vadis?,1913,1913-03-01,"Drama, History",120,Italy,Italian,Enrico Guazzoni,"Henryk Sienkiewicz, Enrico Guazzoni",Società Italiana Cines,6.2,241,6,4,6.2,241,6.2,168,5.9,28,6.4,73,6.2,59,6.1,20,5.5,6,6.2,9,6.2,5,5.6,42,5.8,37,6.3,140
tt0002452,Independenta Romaniei,1912,1912-09-01,"History, War",120,Romania,,Aristide Demetriade,"Aristide Demetriade, Petre Liciu",Societatea Filmului de Arta Leon Popescu,6.7,187,3,1,6.7,187,6.7,144,7.3,24,6.6,87,6.5,29,6.7,20,5.8,5,7.0,9,6.8,6,5.3,25,6.7,23,6.7,131
tt0003740,Cabiria,1914,1914-01-01,"Adventure, Drama, History",148,Italy,Italian,Giovanni Pastrone,"Gabriele D'Annunzio, Titus Livius",Itala Film,7.1,2838,29,26,7.1,2838,7.1,1987,7.1,350,7.0,869,7.3,728,6.9,387,6.6,71,6.9,120,7.1,190,7.1,145,7.0,1002,7.1,1216
tt0004150,In the Land of the Head Hunters,1914,1914-12-07,"Drama, History",65,USA,English,Edward S. Curtis,Edward S. Curtis,Seattle Film Co.,5.9,378,8,11,5.9,378,5.8,275,6.0,41,5.6,114,6.1,113,6.6,43,6.8,4,6.5,15,6.8,23,6.0,60,5.9,143,5.9,161
tt0004972,The Birth of a Nation,1915,1915-03-21,"Drama, History, War",195,USA,,D.W. Griffith,"Thomas Dixon Jr., Thomas Dixon Jr.",David W. Griffith Corp.,6.4,20885,353,94,6.4,20885,6.5,14064,6.3,2890,6.4,7071,6.9,3739,5.8,2314,5.5,565,5.9,1000,6.0,687,6.6,357,6.3,7233,6.5,7837
tt0005149,The Coward,1915,1915-11-14,"Drama, History, War",77,USA,English,"Reginald Barker, Thomas H. Ince","Thomas H. Ince, Thomas H. Ince",Kay-Bee Pictures,6.1,218,15,3,6.1,218,6.1,169,7.2,9,5.4,49,6.2,108,5.9,13,0.0,0,6.0,4,5.7,9,6.0,39,6.0,123,6.0,53
tt0005719,Martyrs of the Alamo,1915,1915-11-21,"Drama, History, War",71,USA,English,Christy Cabanne,"Christy Cabanne, Theodosia Harris",Fine Arts Film Company,5.7,124,5,1,5.7,124,5.7,92,5.1,6,5.0,30,6.1,52,5.1,10,5.5,2,5.5,4,5.2,4,5.5,24,5.8,56,5.4,41
tt0006864,Intolerance: Love's Struggle Throughout the Ages,1916,1918-02-24,"Drama, History",163,USA,,D.W. Griffith,"D.W. Griffith, Anita Loos",Triangle Film Corporation,7.8,13116,105,77,7.8,13116,7.8,8980,8.0,1711,7.7,4311,7.8,2751,7.5,1569,7.2,302,7.5,599,8.1,637,7.5,324,7.7,4150,7.8,5657
tt0007801,Cleopatra,1917,1917-10-14,"Biography, Drama, History",125,USA,English,J. Gordon Edwards,"Adrian Johnson, Émile Moreau",Fox Film Corporation,6.5,291,3,3,6.5,291,6.4,181,6.0,33,6.6,79,6.6,63,6.9,62,5.6,9,6.9,22,7.6,30,5.6,28,6.6,132,6.4,102
tt0008150,Joan the Woman,1916,1916-12-25,"Adventure, Drama, History",138,USA,English,Cecil B. DeMille,"Jeanie Macpherson, William C. de Mille",Paramount Pictures,6.6,474,17,5,6.6,474,6.5,298,6.7,27,6.4,117,6.5,145,6.9,72,6.9,9,7.2,21,6.7,41,6.5,60,6.7,157,6.4,200
tt0008395,Otets Sergiy,1918,1919-01-01,"Biography, Drama, History",112,Russia,,"Yakov Protazanov, Alexandre Volkoff","Leo Tolstoy, Alexandre Volkoff",Yermoliev,7.2,425,6,2,7.2,425,7.1,278,6.9,45,7.0,126,7.1,99,7.8,81,7.5,14,7.5,23,8.2,42,6.6,53,6.5,96,7.3,237
tt0009878,Anders als die Andern,1919,1919-05-28,"Crime, Drama, History",50,Germany,"English, German",Richard Oswald,"Magnus Hirschfeld, Richard Oswald",Richard-Oswald-Produktion,7.0,1050,16,16,7.0,1050,6.9,644,7.0,93,6.8,289,6.9,245,7.4,216,7.4,71,7.2,80,7.7,61,6.3,85,6.9,299,7.0,518
tt0009892,Ravished Armenia,1919,1919-01-19,"Drama, History, Romance",80,USA,,Oscar Apfel,"Aurora Mardiganian, Henry Leyford Gates",First National Pictures,5.9,941,1,2,5.9,941,5.5,480,4.8,112,5.0,180,6.7,78,8.1,214,8.4,61,7.5,60,8.0,36,6.1,27,7.3,112,5.0,347
tt0010247,Herr Arnes pengar,1919,1919-09-22,"Drama, History",122,Sweden,Swedish,Mauritz Stiller,"Selma Lagerlöf, Gustaf Molander",Svenska Biografteatern AB,7.3,1117,8,12,7.3,1117,7.2,761,7.1,109,7.2,353,7.3,288,7.0,163,6.5,27,6.4,57,8.2,76,7.0,101,7.2,292,7.2,601
tt0010559,Die Pest in Florenz,1919,1919-10-23,"Drama, History, Horror",92,Germany,,Otto Rippert,"Fritz Lang, Edgar Allan Poe",Decla-Bioscop AG,6.4,112,2,2,6.4,112,6.3,92,6.2,7,6.5,43,6.2,39,5.5,2,10.0,1,1.0,1,0.0,0,6.2,21,6.0,19,6.3,68
tt0012532,Orphans of the Storm,1921,1922-01-01,"Drama, History, Romance",150,USA,English,D.W. Griffith,"Adolphe d'Ennery, Eugène Cormon",D.W. Griffith Productions,7.4,4475,39,21,7.4,4475,7.3,2946,7.3,387,7.3,1226,7.5,1268,7.5,919,7.3,113,7.4,312,7.7,480,6.9,217,7.4,1924,7.3,1708
tt0013428,Nathan der Weise,1922,1923-09-21,"Drama, History",128,Germany,German,Manfred Noa,"Gotthold Ephraim Lessing, Hans Kyser",Bavaria Film,6.9,105,0,2,6.9,105,6.9,79,6.7,9,6.4,31,7.3,36,7.1,7,7.5,2,8.2,4,9.0,1,6.4,23,7.1,10,6.9,74
tt0013571,Salomé,1922,1923-02-15,"Biography, Drama, History",72,USA,,"Charles Bryant, Alla Nazimova","Oscar Wilde, Natacha Rambova",Nazimova Productions,6.6,765,26,7,6.6,765,6.6,524,6.8,55,6.6,209,6.4,243,6.7,106,6.7,26,6.9,42,6.5,37,6.1,86,6.5,254,6.7,347
tt0013741,Das Weib des Pharao,1922,1922-08-11,"Drama, History",100,Germany,German,Ernst Lubitsch,"Norbert Falk, Hanns Kräly",Ernst Lubitsch-Film,6.6,422,9,14,6.6,422,6.6,335,6.8,25,6.5,132,6.7,170,6.6,33,7.0,3,6.6,10,6.5,20,6.0,68,6.7,149,6.5,207
tt0014672,America,1924,1924-02-21,"Drama, History, War",141,USA,,D.W. Griffith,"Robert W. Chambers, Robert W. Chambers",D.W. Griffith Productions,6.4,332,10,2,6.4,332,6.2,228,5.6,15,6.0,88,6.5,119,6.6,20,7.2,5,6.4,8,6.5,6,6.3,51,6.5,119,6.1,124
tt0014702,Beau Brummel,1924,1924-03-30,"Drama, History, Romance",135,USA,,Harry Beaumont,"Clyde Fitch, Dorothy Farnum",Warner Bros.,6.7,393,15,7,6.7,393,6.5,227,7.1,11,6.4,57,6.5,152,7.0,76,7.6,7,6.3,23,7.4,43,6.2,67,6.8,195,6.3,90
tt0014854,Dorothy Vernon of Haddon Hall,1924,1924-05-25,"Drama, History, Romance",135,USA,English,"Marshall Neilan, Mary Pickford","Charles Major, Waldemar Young",Marshall Neilan Productions,6.8,118,4,2,6.8,118,6.0,56,5.3,3,7.6,15,5.5,36,7.1,20,7.5,2,8.0,12,4.7,6,4.7,20,6.5,35,6.0,39
tt0015016,The Iron Horse,1924,1925-10-04,"History, Romance, Western",150,USA,English,John Ford,"Charles Kenyon, John Russell",Fox Film Corporation,7.2,1797,30,39,7.2,1797,7.2,1336,7.1,131,7.2,546,7.3,633,7.0,115,6.3,22,7.1,45,7.3,48,6.8,178,7.2,547,7.2,838
tt0015022,Janice Meredith,1924,1924-12-08,"Drama, History, Romance",153,USA,English,E. Mason Hopper,"Paul Leicester Ford, Lillie Hayward",Cosmopolitan Productions,5.7,661,5,1,5.7,661,5.4,330,6.2,14,6.5,72,4.7,239,5.7,227,5.0,2,6.7,23,4.8,201,4.0,30,6.2,480,4.6,70
tt0015289,Romola,1924,1925-09-04,"Drama, History",106,USA,,Henry King,"George Eliot, Will M. Ritchey",Inspiration Pictures,6.4,146,9,1,6.4,146,6.2,86,6.6,6,6.2,24,5.9,54,6.9,19,8.2,4,6.6,6,7.3,8,5.6,23,5.9,41,6.4,55
tt0015648,Bronenosets Potemkin,1925,1925-12-24,"Drama, History, Thriller",75,Soviet Union,Russian,Sergei M. Eisenstein,Nina Agadzhanova,Goskino,8.0,49221,198,79,8.0,49221,8.0,34227,8.0,8337,7.9,17674,8.1,7255,7.8,5031,7.6,1513,7.8,2231,8.2,1133,7.7,480,7.9,10131,7.9,25299
tt0015935,El húsar de la muerte,1925,1925-11-24,"Biography, Drama, History",65,Chile,,Pedro Sienna,"Pedro Sienna, Hugo Silva",Film Andes S.A.,6.7,101,4,3,6.7,101,6.6,76,6.7,8,6.6,45,6.3,20,7.1,10,10.0,1,7.1,6,5.7,3,5.7,16,7.4,9,6.5,67
