imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0003165,Le mort qui tue,1913,1913-11-06,"Crime, Drama, Mystery",90,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,7.0,1000,6,17,7.0,1000,6.9,749,6.9,104,6.8,366,7.1,265,7.5,121,6.5,18,7.4,42,8.3,59,6.6,89,6.9,300,7.0,541
tt0004066,Det hemmelighedsfulde X,1914,1914-03-23,"Drama, Mystery",84,Denmark,Danish,Benjamin Christensen,"Benjamin Christensen, Laurids Skands",Dansk Biograf Compagni,7.0,449,7,4,7.0,449,7.0,317,6.6,54,7.0,146,7.1,109,7.2,54,6.4,11,6.9,15,7.9,27,7.3,51,6.8,93,7.0,259
tt0007338,Sherlock Holmes,1916,1916-05-15,Mystery,116,USA,English,Arthur Berthelet,"H.S. Sheldon, William Gillette",The Essanay Film Manufacturing Company,6.5,290,10,16,6.5,290,6.4,208,6.5,19,6.3,56,6.5,121,6.5,44,5.4,9,6.3,12,6.9,23,6.4,46,6.6,153,6.1,77
tt0009701,Tih Minh,1918,1919-02-07,"Adventure, Mystery",418,France,French,Louis Feuillade,Louis Feuillade,Société des Etablissements L. Gaumont,7.0,295,1,7,7.0,295,7.0,176,7.5,29,7.2,76,6.5,67,7.6,42,7.0,5,7.8,16,7.6,21,6.0,49,7.7,85,6.7,127
tt0010323,Das Cabinet des Dr. Caligari,1920,1920-02-27,"Fantasy, Horror, Mystery",76,Germany,German,Robert Wiene,"Carl Mayer, Hans Janowitz",Decla-Bioscop AG,8.1,51644,218,148,8.1,51644,8.1,33703,8.1,8990,8.0,17468,8.0,6069,8.1,7322,8.1,2493,8.2,3361,8.1,1224,7.5,553,8.0,12670,8.1,23911
tt0010821,Unheimliche Geschichten,1919,1919-11-05,"Fantasy, Horror, Mystery",112,Germany,,Richard Oswald,"Anselma Heine, Robert Liebmann",Richard-Oswald-Produktion,6.6,400,7,9,6.6,400,6.5,268,6.4,20,6.4,123,6.6,120,7.2,66,8.5,7,7.2,25,6.7,33,6.5,47,6.4,135,6.7,184
tt0010969,L'Atlantide,1921,1921-05-28,"Adventure, Fantasy, Mystery",136,"France, Belgium",French,Jacques Feyder,"Pierre Benoît, Jacques Feyder",International et Commercial de la Cinématographie (Thalman),6.7,296,5,10,6.7,296,6.7,223,6.7,15,6.6,83,6.9,117,6.5,34,6.2,5,6.3,12,6.6,15,6.3,56,6.2,70,6.9,179
tt0011753,Terror Island,1920,1920-04-01,Mystery,55,USA,English,James Cruze,"Arthur B. Reeve, John Grey",Paramount Pictures,5.5,152,5,2,5.5,152,5.5,117,3.9,7,5.7,44,5.5,61,4.0,11,1.5,2,4.0,6,7.0,2,5.5,33,5.6,62,5.1,61
tt0011904,The Ace of Hearts,1921,1923-04-14,"Crime, Drama, Mystery",75,USA,,Wallace Worsley,"Gouverneur Morris, Ruth Wightman",Goldwyn Pictures Corporation,6.8,1003,30,7,6.8,1003,6.8,703,6.9,36,6.9,270,6.7,378,6.8,115,6.9,19,6.7,44,6.8,50,6.3,109,6.9,517,6.7,268
tt0013086,"Dr. Mabuse, der Spieler",1922,1922-09-30,"Crime, Mystery, Thriller",242,Germany,German,Fritz Lang,"Norbert Jacques, Fritz Lang",Uco-Film GmbH,7.9,6839,37,74,7.9,6839,7.9,4937,7.9,807,7.9,2445,7.9,1568,7.8,708,7.8,111,7.8,317,8.0,265,7.1,263,7.8,1625,7.9,3658
