imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0009915,Behind the Door,1919,1919-12-14,"Drama, Thriller, War",70,USA,English,Irvin Willat,"Gouverneur Morris, Luther Reed",Thomas H. Ince Corporation,7.1,141,5,6,7.1,141,7.0,110,7.5,9,7.2,38,6.9,60,7.5,6,9.5,2,7.5,2,5.0,2,6.3,33,7.7,44,6.5,67
tt0011833,Von morgens bis mitternachts,1920,1920-01-01,"Drama, Thriller",65,Germany,German,Karl Heinz Martin,"Herbert Juttke, Georg Kaiser",Ilag-Film,6.9,384,5,9,6.9,384,6.9,280,7.0,52,7.0,133,6.6,84,6.5,35,7.0,8,6.6,15,5.7,10,6.2,53,6.9,63,6.8,237
tt0012494,Der müde Tod,1921,2017-06-09,"Drama, Fantasy, Thriller",97,Germany,German,Fritz Lang,"Fritz Lang, Thea von Harbou",Decla-Bioscop AG,7.7,4695,33,41,7.7,4695,7.7,3214,7.8,543,7.6,1652,7.7,945,7.9,568,7.9,114,7.9,255,7.9,186,6.8,197,7.6,1185,7.7,2326
tt0012538,Outside the Law,1920,1921-01-06,"Crime, Romance, Thriller",75,USA,English,Tod Browning,"Gardner Bradford, Tod Browning",Universal Film Manufacturing Company,6.6,441,17,8,6.6,441,6.5,332,6.7,23,6.5,133,6.6,165,7.4,31,6.8,8,7.8,9,7.2,12,6.8,51,6.6,157,6.5,190
tt0013086,"Dr. Mabuse, der Spieler",1922,1922-09-30,"Crime, Mystery, Thriller",242,Germany,German,Fritz Lang,"Norbert Jacques, Fritz Lang",Uco-Film GmbH,7.9,6839,37,74,7.9,6839,7.9,4937,7.9,807,7.9,2445,7.9,1568,7.8,708,7.8,111,7.8,317,8.0,265,7.1,263,7.8,1625,7.9,3658
tt0013140,Foolish Wives,1922,1922-01-11,"Drama, Thriller",117,USA,English,Erich von Stroheim,"Erich von Stroheim, Marian Ainslee",Universal Film Manufacturing Company,7.1,2777,24,29,7.1,2777,7.1,1994,7.1,320,7.0,941,7.2,684,6.9,300,6.5,65,6.8,144,7.5,86,6.6,173,7.3,667,7.0,1477
tt0014341,Our Hospitality,1923,1923-11-19,"Comedy, Romance, Thriller",65,USA,English,"John G. Blystone, Buster Keaton","Jean C. Havez, Clyde Bruckman",Joseph M. Schenck Productions,7.8,9351,51,45,7.8,9351,7.8,6449,7.9,1320,7.8,3288,7.9,1705,7.8,1083,7.9,249,7.7,486,7.7,324,7.4,284,8.0,2763,7.8,4306
tt0014429,Safety Last!,1923,1924-02-03,"Action, Comedy, Thriller",74,USA,English,"Fred C. Newmeyer, Sam Taylor","Hal Roach, Sam Taylor",Hal Roach Studios,8.1,16798,82,87,8.1,16798,8.1,12175,8.1,2629,8.0,6104,8.2,3159,8.2,1813,8.2,448,8.2,753,8.3,573,7.7,413,8.2,4773,8.0,8258
tt0014972,He Who Gets Slapped,1924,1924-12-22,"Drama, Romance, Thriller",95,USA,English,Victor Sjöström,"Leonid Andreyev, Carey Wilson",Metro-Goldwyn-Mayer (MGM),7.8,2771,45,21,7.8,2771,7.8,1889,7.8,270,7.8,806,7.8,781,8.0,383,8.1,78,7.9,147,7.9,149,7.2,203,7.8,1046,7.8,1106
tt0015648,Bronenosets Potemkin,1925,1925-12-24,"Drama, History, Thriller",75,Soviet Union,Russian,Sergei M. Eisenstein,Nina Agadzhanova,Goskino,8.0,49221,198,79,8.0,49221,8.0,34227,8.0,8337,7.9,17674,8.1,7255,7.8,5031,7.6,1513,7.8,2231,8.2,1133,7.7,480,7.9,10131,7.9,25299
