imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0003657,The Bargain,1914,1914-12-03,Western,70,USA,English,Reginald Barker,"William H. Clifford, Thomas H. Ince",New York Motion Picture,6.6,121,8,3,6.6,121,6.6,92,6.9,7,5.9,24,6.9,57,6.5,9,7.7,3,4.0,1,7.5,5,6.6,41,6.8,46,6.5,47
tt0004766,The Virginian,1914,1914-09-07,Western,55,USA,English,Cecil B. DeMille,"Owen Wister, Kirk La Shelle",Jesse L. Lasky Feature Play Company,5.6,160,12,0,5.6,160,5.5,113,5.7,10,5.2,39,5.7,62,5.9,9,6.0,1,5.8,4,7.0,4,5.7,32,6.1,53,5.2,67
tt0006736,The Good Bad-Man,1916,1916-04-21,"Romance, Western",50,USA,English,Allan Dwan,Douglas Fairbanks,Fine Arts Film Company,6.6,122,4,2,6.6,122,6.6,93,5.3,10,6.5,28,7.0,50,6.4,16,8.2,4,6.3,6,5.8,6,6.7,30,6.9,55,5.8,44
tt0006753,The Half-Breed,1916,1916-07-30,Western,73,USA,English,Allan Dwan,"Bret Harte, Anita Loos",Fine Arts Film Company,6.6,126,9,5,6.6,126,6.5,91,5.3,3,6.6,24,6.5,58,6.8,18,6.7,3,6.9,5,6.3,9,6.5,25,6.5,67,6.2,36
tt0006780,Hell's Hinges,1916,1916-03-05,"Romance, Western",64,USA,English,"Charles Swickard, William S. Hart","C. Gardner Sullivan, C. Gardner Sullivan",Kay-Bee Pictures,6.8,789,20,10,6.8,789,6.7,514,6.4,60,6.6,195,6.8,246,7.4,101,7.0,12,6.9,28,8.0,59,6.7,86,6.9,318,6.6,280
tt0007610,'49-'17,1917,1917-10-15,"Drama, Western",61,USA,English,Ruth Ann Baldwin,"William Wallace Cook, Ruth Ann Baldwin",Universal Film Manufacturing Company,5.8,236,12,2,5.8,236,5.8,155,7.0,5,5.8,57,5.7,86,5.8,29,6.0,3,6.3,8,5.3,16,5.8,36,5.9,120,5.4,54
tt0007755,Bucking Broadway,1917,1917-12-24,Western,53,USA,English,John Ford,George Hively,Universal Film Manufacturing Company,6.0,434,9,7,6.0,434,6.0,340,6.3,45,6.0,149,6.0,140,5.8,21,8.0,2,6.7,6,5.0,13,5.8,44,6.0,154,6.0,194
tt0008309,A Modern Musketeer,1917,1917-12-30,"Adventure, Comedy, Western",68,USA,English,Allan Dwan,"Allan Dwan, E.P. Lyle Jr.",Douglas Fairbanks Pictures,6.7,250,11,7,6.7,250,6.7,184,7.1,10,6.7,50,6.8,119,6.8,32,7.5,2,6.6,5,6.8,25,6.6,50,6.7,134,6.7,81
tt0008634,Straight Shooting,1917,1917-08-27,Western,57,USA,English,John Ford,George Hively,Universal Film Manufacturing Company,6.2,335,8,10,6.2,335,6.3,250,6.2,27,6.2,97,6.4,123,6.8,17,10.0,1,7.5,4,6.2,12,6.0,52,6.5,82,6.2,182
tt0008775,Wild and Woolly,1917,1917-06-24,"Comedy, Western, Romance",72,USA,English,John Emerson,"Horace B. Carpenter, Anita Loos",Douglas Fairbanks Pictures,6.5,537,7,2,6.5,537,6.5,319,6.1,19,6.3,96,6.8,197,6.7,173,6.7,10,6.5,17,6.8,144,6.3,40,6.6,345,6.3,133
