country_1,Genre_1,Genre_2,Genre_3,imdb_title_id,title,year,date_published,duration,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
Germany,Drama, Fantasy, Horror,tt0003419,Der Student von Prag,1913,1913-08-22,85,"German, English","Paul Wegener, Stellan Rye","Hanns Heinz Ewers, Hanns Heinz Ewers",Deutsche Bioscop GmbH,6.5,1645,19,26,6.5,1645,6.5,1154,6.4,199,6.5,585,6.4,341,6.7,215,6.6,53,6.5,89,7.2,69,6.2,114,6.3,338,6.5,921
USA,Crime, Drama, Horror,tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,1914-08-24,78,English,D.W. Griffith,"Edgar Allan Poe, D.W. Griffith",Majestic Motion Picture Company,6.5,1050,14,11,6.5,1050,6.5,661,6.4,74,6.4,223,6.5,354,6.9,261,6.7,11,7.0,34,7.1,211,6.5,85,6.5,576,6.5,321
Germany,Horror,,,tt0004026,Der Golem,1915,1915-04-08,60,German,"Henrik Galeen, Paul Wegener","Henrik Galeen, Paul Wegener",Deutsche Bioscop GmbH,6.8,1008,5,0,6.8,1008,6.8,625,6.5,43,6.6,311,7.3,260,6.4,168,4.6,11,6.7,67,6.2,89,6.5,53,6.8,413,6.7,356
Denmark,Crime, Drama, Horror,tt0005529,Hævnens Nat,1916,1916-09-25,100,,Benjamin Christensen,Benjamin Christensen,Dansk Biograf Compagni,6.9,242,6,2,6.9,242,6.7,187,6.8,34,6.7,83,6.8,64,7.6,26,7.0,2,7.8,9,7.6,15,6.7,37,7.1,53,6.8,147
Italy,Drama, Fantasy, Horror,tt0005951,Rapsodia satanica,1917,1917-07-01,55,,Nino Oxilia,"Alberto Fassini, Alberto Fassini",Società Italiana Cines,6.9,535,5,5,6.9,535,6.8,370,7.0,85,6.9,172,6.5,104,7.1,70,6.9,19,6.8,28,7.8,21,6.7,66,7.1,82,6.8,331
Russia,Drama, Fantasy, Horror,tt0007183,Pikovaya dama,1916,1916-04-01,63,Russian,Yakov Protazanov,"Alexander Pushkin, Fyodor Otsep",,7.0,578,7,5,7.0,578,6.9,377,6.9,76,6.9,169,6.8,122,7.6,109,7.4,30,7.4,30,7.8,47,6.0,58,6.7,129,7.0,327
Germany,Horror,,,tt0007983,Furcht,1917,1917-11-12,72,,Robert Wiene,Robert Wiene,,6.3,110,3,0,6.3,110,6.3,82,6.0,16,6.4,34,6.5,29,6.1,12,6.0,2,6.2,4,6.5,5,6.0,26,6.6,23,6.2,64
Germany,Drama, Horror,,tt0008854,Die Augen der Mumie Ma,1918,1918-10-03,63,German,Ernst Lubitsch,"Hanns Kräly, Emil Rameau",Projektions-AG Union (PAGU),5.5,533,16,15,5.5,533,5.4,370,4.9,30,5.4,135,5.5,200,6.2,36,7.0,4,6.0,13,6.4,17,5.6,81,5.3,172,5.5,211
France,Drama, Horror, War,tt0010307,J'accuse,1919,1919-04-25,166,French,Abel Gance,Abel Gance,Pathé Frères,7.7,1303,15,25,7.7,1303,7.7,919,7.8,126,7.8,377,7.6,395,7.8,187,7.4,25,7.8,50,7.9,108,7.3,118,7.8,499,7.7,552
Germany,Fantasy, Horror, Mystery,tt0010323,Das Cabinet des Dr. Caligari,1920,1920-02-27,76,German,Robert Wiene,"Carl Mayer, Hans Janowitz",Decla-Bioscop AG,8.1,51644,218,148,8.1,51644,8.1,33703,8.1,8990,8.0,17468,8.0,6069,8.1,7322,8.1,2493,8.2,3361,8.1,1224,7.5,553,8.0,12670,8.1,23911
Germany,Drama, History, Horror,tt0010559,Die Pest in Florenz,1919,1919-10-23,92,,Otto Rippert,"Fritz Lang, Edgar Allan Poe",Decla-Bioscop AG,6.4,112,2,2,6.4,112,6.3,92,6.2,7,6.5,43,6.2,39,5.5,2,10.0,1,1.0,1,0.0,0,6.2,21,6.0,19,6.3,68
Germany,Fantasy, Horror, Mystery,tt0010821,Unheimliche Geschichten,1919,1919-11-05,112,,Richard Oswald,"Anselma Heine, Robert Liebmann",Richard-Oswald-Produktion,6.6,400,7,9,6.6,400,6.5,268,6.4,20,6.4,123,6.6,120,7.2,66,8.5,7,7.2,25,6.7,33,6.5,47,6.4,135,6.7,184
USA,Drama, Horror, Sci-Fi,tt0011130,Dr. Jekyll and Mr. Hyde,1920,1920-09-28,82,English,John S. Robertson,"Robert Louis Stevenson, Clara Beranger",Paramount Pictures,7.0,4477,68,64,7.0,4477,7.0,3094,7.0,487,6.9,1430,7.0,1096,7.1,584,6.7,148,7.3,247,7.2,182,6.8,247,7.1,1666,6.9,1732
USA,Drama, Horror, Sci-Fi,tt0011131,Dr. Jekyll and Mr. Hyde,1920,1920-04-01,40,English,J. Charles Haydon,"J. Charles Haydon, Robert Louis Stevenson",Pioneer Film Corporation,5.4,116,4,4,5.4,116,5.4,87,5.6,8,5.7,27,5.2,48,3.6,5,3.0,2,0.0,0,5.3,3,5.6,21,5.4,50,5.2,35
Germany,Horror,,,tt0011221,Genuine,1920,1921-12-12,88,German,Robert Wiene,Carl Mayer,Decla-Bioscop AG,6.0,791,12,7,6.0,791,5.9,552,5.8,80,5.8,283,6.1,169,6.3,76,5.2,16,6.3,32,6.8,24,5.9,74,6.3,177,5.7,403
Germany,Fantasy, Horror,,tt0011237,"Der Golem, wie er in die Welt kam",1920,1921-02-21,91,,"Carl Boese, Paul Wegener","Henrik Galeen, Paul Wegener",Projektions-AG Union (PAGU),7.2,5933,47,40,7.2,5933,7.1,4302,7.1,667,7.1,2268,7.2,1281,7.1,603,6.7,130,7.2,325,7.3,136,6.9,256,7.1,1461,7.1,3058
USA,Crime, Drama, Horror,tt0011565,The Penalty,1920,1921-06-03,90,English,Wallace Worsley,"Gouverneur Morris, Gouverneur Morris",Eminent Authors Pictures Inc.,7.4,1898,42,41,7.4,1898,7.4,1345,7.3,167,7.4,597,7.3,551,7.5,236,7.4,42,7.3,105,7.7,84,6.9,178,7.6,772,7.2,728
Sweden,Comedy, Drama, Horror,tt0011607,Prästänkan,1920,1920-10-04,71,"Swedish, Danish",Carl Theodor Dreyer,"Carl Theodor Dreyer, Kristofer Janson",Svensk Filmindustri (SF),7.2,975,12,14,7.2,975,7.2,692,7.2,98,7.2,317,7.1,255,7.5,91,7.2,15,7.3,38,7.9,38,6.6,104,7.4,285,7.1,454
Sweden,Drama, Fantasy, Horror,tt0012364,Körkarlen,1921,1921-01-01,100,Swedish,Victor Sjöström,"Selma Lagerlöf, Victor Sjöström",Svensk Filmindustri (SF),8.1,9322,62,79,8.1,9322,8.1,6709,8.2,1684,8.1,3410,7.9,1454,8.0,1104,8.0,326,7.9,476,8.3,273,7.4,279,8.1,2204,8.1,4943
Germany,Crime, Drama, Horror,tt0012651,Schloß Vogelöd,1921,1921-04-07,75,German,F.W. Murnau,"Rudolf Stratz, Carl Mayer",Uco-Film GmbH,6.3,1273,17,33,6.3,1273,6.2,948,6.3,129,6.2,442,6.2,351,6.4,99,6.2,18,6.2,43,6.9,37,6.1,122,6.1,298,6.3,691
