street,city,zip,state,beds,baths,sq_m,type,sale_date,price,latitude,longitude
3526 HIGH ST,Sacramento,95838,CA,2,1,77.67,Residential,2008-05-21,59222,38.631913,-121.43487900000001
51 OMAHA CT,Sacramento,95823,CA,3,1,108.42,Residential,2008-05-21,68212,38.478902000000005,-121.431028
2796 BRANCH ST,Sacramento,95815,CA,2,1,73.95,Residential,2008-05-21,68880,38.618305,-121.44383899999998
2805 JANETTE WAY,Sacramento,95815,CA,2,1,79.15,Residential,2008-05-21,69307,38.616834999999995,-121.439146
6001 MCMAHON DR,Sacramento,95824,CA,2,1,74.04,Residential,2008-05-21,81900,38.51947,-121.435768
5828 PEPPERMILL CT,Sacramento,95841,CA,3,1,104.24,Condo,2008-05-21,89921,38.662595,-121.32781299999999
6048 OGDEN NASH WAY,Sacramento,95842,CA,3,2,102.56,Residential,2008-05-21,90895,38.681659,-121.35170500000001
2561 19TH AVE,Sacramento,95820,CA,3,1,109.35,Residential,2008-05-21,91002,38.535092,-121.48136699999999
11150 TRINITY RIVER DR Unit 114,Rancho Cordova,95670,CA,2,2,87.42,Condo,2008-05-21,94905,38.621188000000004,-121.270555
7325 10TH ST,Rio Linda,95673,CA,3,2,106.47,Residential,2008-05-21,98937,38.700909,-121.44297900000001
645 MORRISON AVE,Sacramento,95838,CA,3,2,84.45,Residential,2008-05-21,100309,38.637663,-121.45152
4085 FAWN CIR,Sacramento,95823,CA,3,2,119.75,Residential,2008-05-21,106250,38.470746000000005,-121.458918
2930 LA ROSA RD,Sacramento,95815,CA,1,1,80.92,Residential,2008-05-21,106852,38.618697999999995,-121.435833
2113 KIRK WAY,Sacramento,95822,CA,3,1,94.76,Residential,2008-05-21,107502,38.482215000000004,-121.492603
4533 LOCH HAVEN WAY,Sacramento,95842,CA,2,2,94.95,Residential,2008-05-21,108750,38.672914,-121.35933999999999
7340 HAMDEN PL,Sacramento,95842,CA,2,2,105.35,Condo,2008-05-21,110700,38.700051,-121.35127800000001
6715 6TH ST,Rio Linda,95673,CA,2,1,78.41,Residential,2008-05-21,113263,38.689591,-121.45223899999999
6236 LONGFORD DR Unit 1,Citrus Heights,95621,CA,2,1,73.86,Condo,2008-05-21,116250,38.679776000000004,-121.314089
250 PERALTA AVE,Sacramento,95833,CA,2,1,54.63,Residential,2008-05-21,120000,38.612099,-121.469095
113 LEEWILL AVE,Rio Linda,95673,CA,3,2,125.98,Residential,2008-05-21,121630,38.689999,-121.46321999999999
6118 STONEHAND AVE,Citrus Heights,95621,CA,3,2,103.86,Residential,2008-05-21,122000,38.707851,-121.32070700000001
