Country,Variable,Frequency,Year,Unit Code,Unit,PowerCode,Reference Period Code,Reference Period,Value
Australia,Current account balance as a percentage of GDP,Annual,2007,PC,Percentage,Units,,,-6.74516195176446
Australia,Current account balance as a percentage of GDP,Annual,2008,PC,Percentage,Units,,,-4.68075459476965
Australia,Current account balance as a percentage of GDP,Annual,2009,PC,Percentage,Units,,,-4.744870945344
Australia,Current account balance as a percentage of GDP,Annual,2010,PC,Percentage,Units,,,-3.6276910571730094
Australia,Current account balance as a percentage of GDP,Annual,2011,PC,Percentage,Units,,,-3.0547282191336698
Australia,Current account balance as a percentage of GDP,Annual,2012,PC,Percentage,Units,,,-4.29026045935776
Australia,Current account balance as a percentage of GDP,Annual,2013,PC,Percentage,Units,,,-3.3788510159381
Australia,Current account balance as a percentage of GDP,Annual,2014,PC,Percentage,Units,,,-3.11519125845573
Australia,Current account balance as a percentage of GDP,Annual,2015,PC,Percentage,Units,,,-4.6535983092454405
Australia,Current account balance as a percentage of GDP,Annual,2016,PC,Percentage,Units,,,-3.2427187201713403
Australia,Current account balance as a percentage of GDP,Annual,2017,PC,Percentage,Units,,,-2.56700372450292
Australia,Current account balance as a percentage of GDP,Annual,2018,PC,Percentage,Units,,,-2.0448953114403703
Australia,Current account balance as a percentage of GDP,Annual,2019,PC,Percentage,Units,,,0.561388938621844
Australia,"Exchange rate, national currency per USD",Annual,2007,AUD,Australian Dollar,Units,,,1.1951828063241101
Australia,"Exchange rate, national currency per USD",Annual,2008,AUD,Australian Dollar,Units,,,1.19750059068673
Australia,"Exchange rate, national currency per USD",Annual,2009,AUD,Australian Dollar,Units,,,1.28215886583223
Australia,"Exchange rate, national currency per USD",Annual,2010,AUD,Australian Dollar,Units,,,1.09017564778217
Australia,"Exchange rate, national currency per USD",Annual,2011,AUD,Australian Dollar,Units,,,0.969188252086078
Australia,"Exchange rate, national currency per USD",Annual,2012,AUD,Australian Dollar,Units,,,0.965965058190601
Australia,"Exchange rate, national currency per USD",Annual,2013,AUD,Australian Dollar,Units,,,1.03640540171356
Australia,"Exchange rate, national currency per USD",Annual,2014,AUD,Australian Dollar,Units,,,1.1094440928893
Australia,"Exchange rate, national currency per USD",Annual,2015,AUD,Australian Dollar,Units,,,1.33088028393171
Australia,"Exchange rate, national currency per USD",Annual,2016,AUD,Australian Dollar,Units,,,1.34533734668894
Australia,"Exchange rate, national currency per USD",Annual,2017,AUD,Australian Dollar,Units,,,1.30488323033315
Australia,"Exchange rate, national currency per USD",Annual,2018,AUD,Australian Dollar,Units,,,1.33865491377444
Australia,"Exchange rate, national currency per USD",Annual,2019,AUD,Australian Dollar,Units,,,1.43866910748281
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2007,USD,US Dollar,Units,2015,2015,201258873367.012
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2008,USD,US Dollar,Units,2015,2015,222077543239.053
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2009,USD,US Dollar,Units,2015,2015,204212093230.526
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2010,USD,US Dollar,Units,2015,2015,236038775381.385
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2011,USD,US Dollar,Units,2015,2015,261076877260.493
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2012,USD,US Dollar,Units,2015,2015,275945497682.133
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2013,USD,US Dollar,Units,2015,2015,270342795852.985
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2014,USD,US Dollar,Units,2015,2015,266663512349.452
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2015,USD,US Dollar,Units,2015,2015,271292263689.934
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2016,USD,US Dollar,Units,2015,2015,272205772632.17102
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2017,USD,US Dollar,Units,2015,2015,293541638521.76
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2018,USD,US Dollar,Units,2015,2015,305748535651.906
Australia,"Imports of goods and services, volume in USD (national accounts basis)",Annual,2019,USD,US Dollar,Units,2015,2015,302166417672.38
Australia,"Goods and services trade, volume in USD",Annual,2007,USD,US Dollar,Units,2015,2015,186026023072.08603
Australia,"Goods and services trade, volume in USD",Annual,2008,USD,US Dollar,Units,2015,2015,200141480652.41898
Australia,"Goods and services trade, volume in USD",Annual,2009,USD,US Dollar,Units,2015,2015,193228904706.637
Australia,"Goods and services trade, volume in USD",Annual,2010,USD,US Dollar,Units,2015,2015,213954509826.608
Australia,"Goods and services trade, volume in USD",Annual,2011,USD,US Dollar,Units,2015,2015,226099586161.246
Australia,"Goods and services trade, volume in USD",Annual,2012,USD,US Dollar,Units,2015,2015,239200469376.46103
Australia,"Goods and services trade, volume in USD",Annual,2013,USD,US Dollar,Units,2015,2015,242229348242.928
Australia,"Goods and services trade, volume in USD",Annual,2014,USD,US Dollar,Units,2015,2015,247803667259.625
Australia,"Goods and services trade, volume in USD",Annual,2015,USD,US Dollar,Units,2015,2015,257312765374.899
Australia,"Goods and services trade, volume in USD",Annual,2016,USD,US Dollar,Units,2015,2015,266155471491.295
Australia,"Goods and services trade, volume in USD",Annual,2017,USD,US Dollar,Units,2015,2015,281666204021.766
Australia,"Goods and services trade, volume in USD",Annual,2018,USD,US Dollar,Units,2015,2015,294561580365.659
Australia,"Goods and services trade, volume in USD",Annual,2019,USD,US Dollar,Units,2015,2015,297223907038.105
Australia,"Exports of goods and services, volume in USD (national accounts basis)",Annual,2007,USD,US Dollar,Units,2015,2015,170793172777.161
Australia,"Exports of goods and services, volume in USD (national accounts basis)",Annual,2008,USD,US Dollar,Units,2015,2015,178205418065.786
Australia,"Exports of goods and services, volume in USD (national accounts basis)",Annual,2009,USD,US Dollar,Units,2015,2015,182245716182.749
Australia,"Exports of goods and services, volume in USD (national accounts basis)",Annual,2010,USD,US Dollar,Units,2015,2015,191870244271.83
Australia,"Exports of goods and services, volume in USD (national accounts basis)",Annual,2011,USD,US Dollar,Units,2015,2015,191122295061.999
