Indicator,  Merchandise exports by product group and destination – annual (Million US dollar),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,SI3_AGG - AG - Agricultural products,World,568579,547798,549847,551329,583180,681678,781156,847715,942450,1131691,1342823,1177136,1354429,1649389,1655099,1731531,1752575,1561564,1579410,1734932,1806904
World,SI3_AGG - AGFO - Food,World,458577,438858,430043,442232,469058,549601,626602,680936,753836,915653,1114698,998004,1115790,1350316,1369778,1445339,1479958,1329759,1351779,1474227,1532499
World,SI3_AGG - MA - Manufactures,World,4122548,4260117,4689533,4512734,4751628,5501386,6624576,7302724,8263994,9533196,10475820,8379712,9988931,11518898,11502948,11859117,12287237,11330715,11139789,12116430,13157224
World,SI3_AGG - MACH - Chemicals,World,519027,537217,584301,598611,666322,800741,975966,1101752,1244851,1478222,1684177,1453993,1694259,1984161,1960336,1997265,2048737,1844363,1816103,1984631,2237154
Afghanistan,SI3_AGG - AG - Agricultural products,World,,,,,,,,,,,311,251,197,196,76,70,83,361,437,513,576
Afghanistan,SI3_AGG - AGFO - Food,World,,,,,,,,,,,284,221,156,147,75,70,83,277,339,398,447
Afghanistan,SI3_AGG - MA - Manufactures,World,,,,,,,,,,,187,73,76,53,73,73,84,91,39,46,52
Afghanistan,SI3_AGG - MACH - Chemicals,World,,,,,,,,,,,,,,,,,,0,,,
Africa,SI3_AGG - AG - Agricultural products,World,,,18212,18043,19131,23729,27098,28559,30723,34604,41542,43113,48684,57412,67991,63495,60376,58399,59725,64366,
Africa,SI3_AGG - AG - Agricultural products,Africa,,,3311,3335,3506,4664,5077,5399,5968,6937,8568,9425,10927,13576,14747,15255,15810,15562,14421,16147,
Africa,SI3_AGG - AG - Agricultural products,Asia,,,3184,3113,2972,3831,4573,4762,5176,5242,6302,6262,8349,10347,14528,13120,13985,11893,13108,14054,
Africa,SI3_AGG - AG - Agricultural products,Australia and New Zealand,,,84,89,122,168,183,193,178,234,241,220,333,377,423,398,390,263,261,292,
Africa,SI3_AGG - AG - Agricultural products,Brazil,,,86,43,39,55,30,38,69,143,167,167,163,280,360,209,194,158,340,355,
Africa,SI3_AGG - AG - Agricultural products,China,,,399,424,401,718,881,1157,1194,1256,1379,1602,2085,2674,4276,3323,3753,2993,2989,3823,
Africa,SI3_AGG - AG - Agricultural products,"Commonwealth of Independent States (CIS), including associate and former member States",,,171,208,290,358,402,479,440,564,834,783,882,1238,1088,1326,1121,1053,979,1136,
Africa,SI3_AGG - AG - Agricultural products,Europe,,,9459,9464,10272,12402,14032,14479,15487,17940,20066,18882,20179,22236,26175,25207,21778,21516,22459,23294,
Africa,SI3_AGG - AG - Agricultural products,Four East Asian traders,,,528,539,474,596,638,556,550,639,660,687,1008,1531,1921,1537,1756,1342,1380,1600,
Africa,SI3_AGG - AG - Agricultural products,India,,,504,429,451,500,612,589,518,717,980,861,1163,1355,2049,1754,2310,2942,2906,2101,
Africa,SI3_AGG - AG - Agricultural products,Japan,,,1020,941,911,936,1058,1150,1121,969,1213,932,1001,1270,2138,2147,1645,907,1062,1272,
Africa,SI3_AGG - AG - Agricultural products,Least-developed countries,,,1349,1330,1847,2319,2383,2502,3111,3290,4131,4461,5434,6063,7085,7363,8023,7212,6756,7496,
Africa,SI3_AGG - AG - Agricultural products,Mexico,,,16,20,24,22,27,18,23,45,50,65,107,478,416,181,127,106,103,121,
Africa,SI3_AGG - AG - Agricultural products,Middle East,,,872,766,862,1030,1164,1398,1683,1736,2793,3719,4379,4906,4409,5093,4380,4932,4922,5405,
Africa,SI3_AGG - AG - Agricultural products,Non-EU south-eastern Europe,,,171,137,201,185,307,270,337,432,509,567,598,607,626,988,843,905,897,974,
Africa,SI3_AGG - AG - Agricultural products,Non-EU western Europe,,,320,302,250,284,365,401,469,523,585,639,511,548,630,618,527,375,368,452,
Africa,SI3_AGG - AG - Agricultural products,North America,,,958,927,1044,1202,1458,1645,1567,1577,2064,2139,2403,3363,3898,2908,2703,2857,3067,3518,
Africa,SI3_AGG - AG - Agricultural products,Other Africa,,,2626,2640,3009,4025,4255,4579,4965,5864,7621,8458,9610,11594,12243,12812,13612,13581,12446,13908,
Africa,SI3_AGG - AG - Agricultural products,Other Asia,,,649,691,614,912,1202,1117,1615,1427,1828,1961,2759,3139,3721,3961,4129,3445,4510,4966,
Africa,SI3_AGG - AG - Agricultural products,Other CIS,,,10,22,15,35,80,75,93,109,204,167,193,283,262,376,197,176,153,131,
Africa,SI3_AGG - AG - Agricultural products,Russian Federation,,,160,186,275,323,322,404,347,455,629,616,689,956,826,950,923,878,827,1005,
Africa,SI3_AGG - AG - Agricultural products,Six East Asian traders,,,739,749,673,882,1029,937,958,1134,1356,1241,1749,2700,3322,3183,3193,2628,2852,3470,
Africa,SI3_AGG - AG - Agricultural products,South Africa,,,685,696,498,639,822,821,1004,1073,947,967,1317,1982,2504,2443,2197,1981,1974,2239,
Africa,SI3_AGG - AG - Agricultural products,South and Central America and the Caribbean,,,152,93,90,119,91,108,141,251,439,1648,1072,1482,2875,375,347,290,502,502,
Africa,SI3_AGG - AG - Agricultural products,United States of America,,,824,815,910,1038,1213,1435,1298,1272,1709,1767,1923,2469,3134,2256,2197,2300,2515,2689,
Africa,SI3_AGG - AGFO - Food,World,,,13679,13958,14846,17999,20709,21968,23711,26865,32966,35686,38970,45813,48821,49287,48902,48976,50167,54362,
Africa,SI3_AGG - AGFO - Food,Africa,,,2661,2963,3010,3749,4153,4538,5032,5923,7607,8481,9787,12098,13328,14111,14671,14529,13528,15159,
Africa,SI3_AGG - AGFO - Food,Asia,,,1741,1703,1463,1742,2164,2448,2577,2737,3262,3515,4481,5647,6833,6775,7863,7287,7891,8657,
Africa,SI3_AGG - AGFO - Food,Australia and New Zealand,,,75,78,107,156,170,181,166,214,207,204,245,207,182,216,180,157,163,193,
Africa,SI3_AGG - AGFO - Food,Brazil,,,36,18,21,43,23,33,48,109,151,148,137,245,266,129,149,129,313,325,
Africa,SI3_AGG - AGFO - Food,China,,,111,135,54,92,191,277,286,308,310,498,607,795,952,871,1131,1039,809,1232,
Africa,SI3_AGG - AGFO - Food,"Commonwealth of Independent States (CIS), including associate and former member States",,,168,205,282,351,394,468,414,539,798,759,832,1143,1031,1100,1058,993,923,1067,
Africa,SI3_AGG - AGFO - Food,Europe,,,7384,7408,8238,10003,11401,11531,12489,14309,16273,15803,16728,18305,18389,19828,18405,18467,19707,20480,
Africa,SI3_AGG - AGFO - Food,Four East Asian traders,,,261,282,251,305,359,328,336,429,437,427,692,1106,1182,984,1337,976,1063,1281,
Africa,SI3_AGG - AGFO - Food,India,,,223,145,177,187,309,346,301,368,573,552,700,874,1176,1164,1773,2324,1917,1463,
