Sub,Subject,Location,Country,Year,Unit Code,Unit,Power Code,Power Code,Value,Power Code
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2011,USD,US Dollar,0,Units,49.144818,0
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2012,USD,US Dollar,0,Units,49.289611,0
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2013,USD,US Dollar,0,Units,54.090499,0
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2014,USD,US Dollar,0,Units,53.820427,0
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2015,USD,US Dollar,0,Units,54.171924,0
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2011,TONNE,Tonnes,6,Millions,387.1,6
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2012,TONNE,Tonnes,6,Millions,386.5,6
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2013,TONNE,Tonnes,6,Millions,382.6,6
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2014,TONNE,Tonnes,6,Millions,373.3,6
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2015,TONNE,Tonnes,6,Millions,379.3,6
TEACHERS_T1A,Change in teachers'salary after 15 years of experience,AUS,Australia,2013,IDX,Index,0,Units,111.14906,0
PISA_T1I,Mean scores on the reading scale in PISA 2012: men,AUS,Australia,2012,AVSCORE,Average score,0,Units,495.08955999999995,0
SMOKE_G1, Adult population smoking daily,AUS,Australia,2013,PC,Percentage,0,Units,13.0,0
DOCTOR_G1, Practising physicians,AUS,Australia,2011,1000HAB,Per 1 000 inhabitants,0,Units,3.32,0
DOCTOR_G1, Practising physicians,AUS,Australia,2012,1000HAB,Per 1 000 inhabitants,0,Units,3.31,0
DOCTOR_G1, Practising physicians,AUS,Australia,2013,1000HAB,Per 1 000 inhabitants,0,Units,3.37,0
DOCTOR_G1, Practising physicians,AUS,Australia,2014,1000HAB,Per 1 000 inhabitants,0,Units,3.44,0
DOCTOR_G1, Practising physicians,AUS,Australia,2015,1000HAB,Per 1 000 inhabitants,0,Units,3.5,0
NURSE_G1, Practising nurses,AUS,Australia,2011,1000HAB,Per 1 000 inhabitants,0,Units,10.19,0
NURSE_G1, Practising nurses,AUS,Australia,2012,1000HAB,Per 1 000 inhabitants,0,Units,10.22,0
NURSE_G1, Practising nurses,AUS,Australia,2013,1000HAB,Per 1 000 inhabitants,0,Units,11.37,0
NURSE_G1, Practising nurses,AUS,Australia,2014,1000HAB,Per 1 000 inhabitants,0,Units,11.35,0
NURSE_G1, Practising nurses,AUS,Australia,2015,1000HAB,Per 1 000 inhabitants,0,Units,11.45,0
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2011,TONNE,Tonnes,3,Thousands,2507.885,3
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2012,TONNE,Tonnes,3,Thousands,2519.09,3
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2013,TONNE,Tonnes,3,Thousands,2414.111,3
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2014,TONNE,Tonnes,3,Thousands,2499.4320000000002,3
SOXNOX_T1A,Sulphur Oxides Emmissions,AUS,Australia,2015,TONNE,Tonnes,3,Thousands,2385.877,3
EDUTEREXPND_T1A,Annual expenditure per student in short cycle tertiary education,AUS,Australia,2012,USD,US Dollar,0,Units,8266.7308,0
AGEDPOPGEO_G1,Elderly population,AUS,Australia,2014,PC,Percentage,0,Units,14.7,0
TIVA_T1,Foreign value added as a share of gross exports,AUS,Australia,2011,PC,Percentage,0,Units,14.1,0
TERTIARY_T1A,Population aged 25-34 below upper secondary,AUS,Australia,2014,PC,Percentage,0,Units,13.280849,0
TERTIARY_T1B,Population aged 25-34 below upper secondary,AUS,Australia,2014,PC,Percentage,0,Units,38.587761,0
AGEDPOPGEO_G2A,Regional elderly population: Maximum,AUS,Australia,2014,AVGRW,Average growth rate,0,Units,4.6,0
AGEDPOPGEO_G2B,Regional elderly population: Country average,AUS,Australia,2014,AVGRW,Average growth rate,0,Units,1.2,0
AGEDPOPGEO_G2C,Regional elderly population: Minimum,AUS,Australia,2014,AVGRW,Average growth rate,0,Units,0.7,0
