"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2007","2007","PC","Percentage","0","Units",,,-6.74516195176446,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2008","2008","PC","Percentage","0","Units",,,-4.68075459476965,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2009","2009","PC","Percentage","0","Units",,,-4.744870945344,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2010","2010","PC","Percentage","0","Units",,,-3.62769105717301,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2011","2011","PC","Percentage","0","Units",,,-3.05472821913367,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2012","2012","PC","Percentage","0","Units",,,-4.29026045935776,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2013","2013","PC","Percentage","0","Units",,,-3.3788510159381,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2014","2014","PC","Percentage","0","Units",,,-3.11519125845573,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2015","2015","PC","Percentage","0","Units",,,-4.65359830924544,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2016","2016","PC","Percentage","0","Units",,,-3.24271872017134,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2017","2017","PC","Percentage","0","Units",,,-2.56700372450292,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2018","2018","PC","Percentage","0","Units",,,-2.04489531144037,,
"AUS","Australia","CBGDPR","Current account balance as a percentage of GDP","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.561388938621844,,
